workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
resnet50_conv5,49,512,4608,115605504,os,ring,8,16,10,split_mn,25,128,4608,4862,73798,0,78660,73798,0.2472412916348843,0.26353017696956554,0.03090516145436054,0.03294127212119569,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,16,10,split_k,49,512,576,3320,282884,5628,291832,288512,0.06664108116998821,0.06740794143744454,0.008330135146248526,0.008425992679680567,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,16,10,split_m,7,512,4608,19448,294982,0,314430,294982,0.06185160449066565,0.0659294465425009,0.0077314505613332064,0.008241180817812612,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,64,10,split_n,49,64,4608,4862,7126,0,11988,7126,1.622288955622289,2.7291608195341004,0.20278611945278613,0.34114510244176255,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,64,10,split_mn,25,128,4608,4862,18502,0,23364,18502,0.832391713747646,1.051129607609988,0.10404896421845575,0.1313912009512485,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,64,10,split_k,49,512,576,3320,70826,1512,75658,72338,0.2570514684501308,0.26884901434930464,0.03213143355626635,0.03360612679366308,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,64,10,split_m,7,512,4608,19448,73798,0,93246,73798,0.2085665873066941,0.26353017696956554,0.026070823413336764,0.03294127212119569,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,256,10,split_n,49,64,4608,4862,1834,0,6696,4862,2.90442054958184,4.0,0.36305256869773,0.5,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,256,10,split_mn,25,128,4608,4862,4678,0,9540,4862,2.038574423480084,4.0,0.2548218029350105,0.5,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,256,10,split_k,49,512,576,3320,17812,483,21615,18295,0.8997455470737914,1.0630226837933863,0.11246819338422392,0.13287783547417328,19448
resnet50_conv5,49,512,4608,115605504,os,ring,8,256,10,split_m,7,512,4608,19448,18502,0,37950,19448,0.5124637681159421,1.0,0.06405797101449276,0.125,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,16,10,split_n,49,64,4608,4862,112936,0,117798,112936,0.16509618159900846,0.17220372600410852,0.020637022699876058,0.021525465750513565,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,16,10,split_mn,25,128,4608,4862,294952,0,299814,294952,0.06486688413483026,0.06593615232308986,0.008108360516853782,0.008242019040386232,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,16,10,split_m,7,512,4608,19448,1179688,0,1199136,1179688,0.016218343874256132,0.016485714866981777,0.0020272929842820166,0.002060714358372722,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,16,10,split_k,49,512,576,3320,1292624,6352,1302296,1298976,0.014933624920908918,0.014971793166309462,0.0018667031151136148,0.0018714741457886827,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,64,10,split_n,49,64,4608,4862,28264,0,33126,28264,0.5870917104389302,0.6880837814888197,0.07338646380486627,0.08601047268610246,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,64,10,split_mn,25,128,4608,4862,73768,0,78630,73768,0.24733562253592775,0.26363734952825074,0.03091695281699097,0.03295466869103134,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,64,10,split_m,7,512,4608,19448,294952,0,314400,294952,0.06185750636132316,0.06593615232308986,0.007732188295165395,0.008242019040386232,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,64,10,split_k,49,512,576,3320,323216,1648,328184,324864,0.059259439826438824,0.0598650512214342,0.007407429978304853,0.007483131402679275,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,256,10,split_n,49,64,4608,4862,7096,0,11958,7096,1.6263589228968054,2.7406989853438555,0.20329486536210067,0.34258737316798193,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,256,10,split_mn,25,128,4608,4862,18472,0,23334,18472,0.8334619010885403,1.0528367258553486,0.10418273763606754,0.13160459073191857,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,256,10,split_k,49,512,576,3320,80864,472,84656,81336,0.22972972972972974,0.23910691452739255,0.028716216216216218,0.02988836431592407,19448
resnet50_conv5,49,512,4608,115605504,os,mesh,8,256,10,split_m,7,512,4608,19448,73768,0,93216,73768,0.2086337109509097,0.26363734952825074,0.026079213868863714,0.03295466869103134,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,16,10,split_n,49,64,4608,4862,28234,0,33096,28234,0.5876238820401257,0.6888149040164341,0.07345298525501572,0.08610186300205426,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,16,10,split_k,49,512,576,3320,40412,6292,50024,46704,0.3887733887733888,0.41640972935936965,0.0485966735966736,0.052051216169921206,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,16,10,split_mn,25,128,4608,4862,73738,0,78600,73738,0.24743002544529263,0.26374460929235943,0.03092875318066158,0.03296807616154493,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,16,10,split_m,7,512,4608,19448,294922,0,314370,294922,0.06186340935839934,0.0659428594679271,0.007732926169799917,0.008242857433490888,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,64,10,split_n,49,64,4608,4862,7066,0,11928,7066,1.630449362843729,2.7523351259552786,0.20380617035546614,0.34404189074440983,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,64,10,split_k,49,512,576,3320,10118,1588,15026,11706,1.294289897510981,1.6613702374850503,0.1617862371888726,0.2076712796856313,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,64,10,split_mn,25,128,4608,4862,18442,0,23304,18442,0.8345348438036388,1.054549398113003,0.10431685547545486,0.13181867476412537,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,64,10,split_m,7,512,4608,19448,73738,0,93186,73738,0.20870087781426394,0.26374460929235943,0.026087609726782993,0.03296807616154493,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,256,10,split_k,49,512,576,3320,2545,412,6277,3732,3.098295364027402,5.211146838156484,0.3872869205034252,0.6513933547695605,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,256,10,split_n,49,64,4608,4862,1774,0,6636,4862,2.930681133212779,4.0,0.36633514165159736,0.5,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,256,10,split_mn,25,128,4608,4862,4618,0,9480,4862,2.0514767932489453,4.0,0.25643459915611816,0.5,19448
resnet50_conv5,49,512,4608,115605504,os,all_to_all,8,256,10,split_m,7,512,4608,19448,18442,0,37890,19448,0.513275270519926,1.0,0.06415940881499076,0.125,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,16,10,split_n,49,64,4608,4862,42371,0,47233,42371,0.41174602502487667,0.45899317929716077,0.051468253128109584,0.057374147412145096,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,16,10,split_mn,25,128,4608,4862,110627,0,115489,110627,0.16839699018954185,0.17579795167544993,0.02104962377369273,0.02197474395943124,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,16,10,split_k,49,512,576,3320,262618,6342,272280,268960,0.0714264727486411,0.0723081499107674,0.008928309093580137,0.009038518738845924,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,16,10,split_m,7,512,4608,19448,442403,0,461851,442403,0.04210881864497425,0.04395991889747583,0.005263602330621781,0.005494989862184479,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,64,10,split_n,49,64,4608,4862,10619,0,15481,10619,1.25624959627931,1.831434221678124,0.15703119953491376,0.2289292777097655,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,64,10,split_mn,25,128,4608,4862,27683,0,32545,27683,0.5975725917959748,0.7025250153523823,0.07469657397449685,0.08781562691904779,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,64,10,split_k,49,512,576,3320,65707,1638,70665,67345,0.27521403806693556,0.28878164674437595,0.034401754758366945,0.036097705843046994,19448
resnet50_conv5,49,512,4608,115605504,os,hierarchical,8,64,10,split_m,7,512,4608,19448,110627,0,130075,110627,0.14951374207188162,0.17579795167544993,0.018689217758985202,0.02197474395943124,19448
