workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,compute_cycles,distribute_cycles,reduce_cycles
resnet50_conv5,49,512,4608,8,128,split_n,2.2988179669030733,4862,3598,0
resnet50_conv5,49,512,4608,8,256,split_n,2.90442054958184,4862,1834,0
bert_qk_seq2048,2048,2048,64,2,1,split_m,0.2687992392474361,40704,262154,0
bert_qk_seq2048,2048,2048,64,2,2,split_m,0.4738919353148685,40704,131082,0
bert_qk_seq2048,2048,2048,64,2,4,split_m,0.7661929411764706,40704,65546,0
bert_qk_seq2048,2048,2048,64,2,8,split_m,1.1078631501592227,40704,32778,0
bert_qk_seq2048,2048,2048,64,2,16,split_m,1.425759220988476,40704,16394,0
bert_qk_seq2048,2048,2048,64,2,32,split_m,1.6645810330020856,40704,8202,0
bert_qk_seq2048,2048,2048,64,2,64,split_m,1.8167373354162017,40704,4106,0
bert_qk_seq2048,2048,2048,64,2,128,split_m,1.903746316823348,40704,2058,0
bert_qk_seq2048,2048,2048,64,2,256,split_m,1.950452824764004,40704,1034,0
bert_qk_seq2048,2048,2048,64,3,1,split_m,0.2781353778032881,30528,262164,0
bert_qk_seq2048,2048,2048,64,3,2,split_m,0.5037000371241183,30528,131092,0
bert_qk_seq2048,2048,2048,64,3,4,split_m,0.8472586486824029,30528,65556,0
bert_qk_seq2048,2048,2048,64,3,8,split_m,1.2857413607934802,30528,32788,0
bert_qk_seq2048,2048,2048,64,3,16,split_m,1.7345947328049092,30528,16404,0
bert_qk_seq2048,2048,2048,64,3,32,split_m,2.1013939081053175,30528,8212,0
bert_qk_seq2048,2048,2048,64,3,64,split_m,2.3498441288534813,30528,4116,0
bert_qk_seq2048,2048,2048,64,3,128,split_m,2.497484353908455,30528,2068,0
bert_qk_seq2048,2048,2048,64,3,256,split_m,2.5784872671987835,30528,1044,0
bert_qk_seq2048,2048,2048,64,4,1,split_mn,0.5375097389306324,20352,131102,0
bert_qk_seq2048,2048,2048,64,4,2,split_mn,0.9475080891082195,20352,65566,0
bert_qk_seq2048,2048,2048,64,4,4,split_mn,1.5316650987770462,20352,32798,0
bert_qk_seq2048,2048,2048,64,4,8,split_mn,2.214219659467987,20352,16414,0
bert_qk_seq2048,2048,2048,64,4,16,split_mn,2.849023587877091,20352,8222,0
bert_qk_seq2048,2048,2048,64,4,32,split_mn,3.3257619086526677,20352,4126,0
bert_qk_seq2048,2048,2048,64,4,64,split_mn,3.6294248773963442,20352,2078,0
bert_qk_seq2048,2048,2048,64,4,128,split_mn,3.803045874988321,20352,1054,0
bert_qk_seq2048,2048,2048,64,4,256,split_mn,3.896238154494113,20352,542,0
bert_qk_seq2048,2048,2048,64,5,1,split_mn,0.5561567470077062,15264,131112,0
bert_qk_seq2048,2048,2048,64,5,2,split_mn,1.0070262246412667,15264,65576,0
bert_qk_seq2048,2048,2048,64,5,4,split_mn,1.693459810284573,15264,32808,0
bert_qk_seq2048,2048,2048,64,5,8,split_mn,2.5690482201464278,15264,16424,0
bert_qk_seq2048,2048,2048,64,5,16,split_mn,3.4647599591419818,15264,8232,0
bert_qk_seq2048,2048,2048,64,5,32,split_mn,4.196288659793814,15264,4136,0
bert_qk_seq2048,2048,2048,64,5,64,split_mn,4.691562932226833,15264,2088,0
bert_qk_seq2048,2048,2048,64,5,128,split_mn,4.98579127878491,15264,1064,0
bert_qk_seq2048,2048,2048,64,5,256,split_mn,5.147192716236722,15264,552,0
bert_qk_seq2048,2048,2048,64,6,1,split_mn,0.556118754525706,15264,131122,0
bert_qk_seq2048,2048,2048,64,6,2,split_mn,1.0069016697588127,15264,65586,0
bert_qk_seq2048,2048,2048,64,6,4,split_mn,1.6931076078366125,15264,32818,0
bert_qk_seq2048,2048,2048,64,6,8,split_mn,2.5682377437062276,15264,16434,0
bert_qk_seq2048,2048,2048,64,6,16,split_mn,3.463285969539692,15264,8242,0
bert_qk_seq2048,2048,2048,64,6,32,split_mn,4.194126738794436,15264,4146,0
bert_qk_seq2048,2048,2048,64,6,64,split_mn,4.688860730330607,15264,2098,0
bert_qk_seq2048,2048,2048,64,6,128,split_mn,4.9827396254131475,15264,1074,0
bert_qk_seq2048,2048,2048,64,6,256,split_mn,5.1439403513206114,15264,562,0
bert_qk_seq2048,2048,2048,64,7,1,split_mn,0.5761032637925666,10176,131132,0
bert_qk_seq2048,2048,2048,64,7,2,split_mn,1.0743810378503933,10176,65596,0
bert_qk_seq2048,2048,2048,64,7,4,split_mn,1.8930332062133755,10176,32828,0
bert_qk_seq2048,2048,2048,64,7,8,split_mn,3.0581517655897823,10176,16444,0
bert_qk_seq2048,2048,2048,64,7,16,split_mn,4.417625352724116,10176,8252,0
bert_qk_seq2048,2048,2048,64,7,32,split_mn,5.680156293608708,10176,4156,0
bert_qk_seq2048,2048,2048,64,7,64,split_mn,6.627157277759688,10176,2108,0
bert_qk_seq2048,2048,2048,64,7,128,split_mn,7.229840142095915,10176,1084,0
bert_qk_seq2048,2048,2048,64,7,256,split_mn,7.574246371417939,10176,572,0
bert_qk_seq2048,2048,2048,64,8,1,split_mn,0.5760624973464102,10176,131142,0
bert_qk_seq2048,2048,2048,64,8,2,split_mn,1.0742392652608799,10176,65606,0
bert_qk_seq2048,2048,2048,64,8,4,split_mn,1.892593109220254,10176,32838,0
bert_qk_seq2048,2048,2048,64,8,8,split_mn,3.0570033796470146,10176,16454,0
bert_qk_seq2048,2048,2048,64,8,16,split_mn,4.415229417507322,10176,8262,0
bert_qk_seq2048,2048,2048,64,8,32,split_mn,5.676195788592944,10176,4166,0
bert_qk_seq2048,2048,2048,64,8,64,split_mn,6.621766715470962,10176,2118,0
bert_qk_seq2048,2048,2048,64,8,128,split_mn,7.223425022182786,10176,1094,0
bert_qk_seq2048,2048,2048,64,8,256,split_mn,7.5672058003346345,10176,582,0
bert_qkv_proj_seq2048,2048,768,768,2,1,split_m,0.07984933841398405,49056,1179658,0
bert_qkv_proj_seq2048,2048,768,768,2,2,split_m,0.1535663416237537,49056,589834,0
bert_qkv_proj_seq2048,2048,768,768,2,4,split_m,0.28522754362197583,49056,294922,0
bert_qkv_proj_seq2048,2048,768,768,2,8,split_m,0.4992418151657321,49056,147466,0
bert_qkv_proj_seq2048,2048,768,768,2,16,split_m,0.7989966936495269,49056,73738,0
bert_qkv_proj_seq2048,2048,768,768,2,32,split_m,1.1417665541720006,49056,36874,0
bert_qkv_proj_seq2048,2048,768,768,2,64,split_m,1.4535541793830928,49056,18442,0
