workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
bert_qk_seq2048,8,1024,split_mn,7.847310584152689,0.9809138230190861,0.9809138230190861,0.01908617698091386
bert_qk_seq2048,8,2048,split_mn,7.896023278370514,0.9870029097963142,0.9870029097963142,0.01299709020368578
bert_qkv_proj_seq2048,2,1,split_m,0.07984933841398405,0.039924669206992024,0.039924669206992024,0.960075330793008
bert_qkv_proj_seq2048,2,2,split_m,0.1535663416237537,0.07678317081187686,0.07678317081187686,0.9232168291881231
bert_qkv_proj_seq2048,2,4,split_m,0.28522754362197583,0.14261377181098792,0.14261377181098792,0.8573862281890121
bert_qkv_proj_seq2048,2,8,split_m,0.4992418151657321,0.24962090758286604,0.24962090758286604,0.750379092417134
bert_qkv_proj_seq2048,2,16,split_m,0.7989966936495269,0.39949834682476343,0.39949834682476343,0.6005016531752365
bert_qkv_proj_seq2048,2,32,split_m,1.1417665541720006,0.5708832770860003,0.5708832770860003,0.4291167229139997
bert_qkv_proj_seq2048,2,64,split_m,1.4535541793830928,0.7267770896915464,0.7267770896915464,0.2732229103084536
bert_qkv_proj_seq2048,2,128,split_m,1.683401393226039,0.8417006966130195,0.8417006966130195,0.1582993033869805
bert_qkv_proj_seq2048,2,256,split_m,1.8279241345903043,0.9139620672951522,0.9139620672951522,0.08603793270484783
bert_qkv_proj_seq2048,2,512,split_m,1.9099085069106483,0.9549542534553241,0.9549542534553241,0.04504574654467586
bert_qkv_proj_seq2048,2,1024,split_m,1.9537217730694174,0.9768608865347087,0.9768608865347087,0.023139113465291294
bert_qkv_proj_seq2048,2,2048,split_m,1.9763909592683615,0.9881954796341808,0.9881954796341808,0.011804520365819249
bert_qkv_proj_seq2048,4,1,split_m,0.0814744321154354,0.02036860802885885,0.02036860802885885,0.9796313919711411
bert_qkv_proj_seq2048,4,2,split_m,0.15969217848179146,0.039923044620447865,0.039923044620447865,0.9600769553795522
bert_qkv_proj_seq2048,4,4,split_m,0.3071086486994084,0.0767771621748521,0.0767771621748521,0.9232228378251479
bert_qkv_proj_seq2048,4,8,split_m,0.5703721790086853,0.14259304475217133,0.14259304475217133,0.8574069552478287
bert_qkv_proj_seq2048,4,16,split_m,0.9982296563091386,0.24955741407728466,0.24955741407728466,0.7504425859227153
bert_qkv_proj_seq2048,4,32,split_m,1.5973429715737033,0.3993357428934258,0.3993357428934258,0.6006642571065741
bert_qkv_proj_seq2048,4,64,split_m,2.282205163991626,0.5705512909979065,0.5705512909979065,0.42944870900209353
bert_qkv_proj_seq2048,4,128,split_m,2.9049564753952746,0.7262391188488186,0.7262391188488186,0.27376088115118136
bert_qkv_proj_seq2048,4,256,split_m,3.3639168895289036,0.8409792223822259,0.8409792223822259,0.1590207776177741
bert_qkv_proj_seq2048,4,512,split_m,3.6524458342640163,0.9131114585660041,0.9131114585660041,0.08688854143399594
bert_qkv_proj_seq2048,4,1024,split_m,3.8161026837806302,0.9540256709451576,0.9540256709451576,0.045974329054842444
bert_qkv_proj_seq2048,4,2048,split_m,3.903556934829315,0.9758892337073287,0.9758892337073287,0.024110766292671282
bert_qkv_proj_seq2048,8,1,split_m,0.08230996776796964,0.010288745970996205,0.010288745970996205,0.9897112540290038
bert_qkv_proj_seq2048,8,2,split_m,0.16293398078245244,0.020366747597806555,0.020366747597806555,0.9796332524021935
bert_qkv_proj_seq2048,8,4,split_m,0.31932718408050875,0.039915898010063594,0.039915898010063594,0.9600841019899364
bert_qkv_proj_seq2048,8,8,split_m,0.6140058827210714,0.07675073534013392,0.07675073534013392,0.9232492646598661
bert_qkv_proj_seq2048,8,16,split_m,1.1400153377797402,0.14250191722246752,0.14250191722246752,0.8574980827775325
bert_qkv_proj_seq2048,8,32,split_m,1.9942274076181958,0.24927842595227448,0.24927842595227448,0.7507215740477255
bert_qkv_proj_seq2048,8,64,split_m,3.188974842358448,0.398621855294806,0.398621855294806,0.601378144705194
bert_qkv_proj_seq2048,8,128,split_m,4.552761020881671,0.5690951276102089,0.5690951276102089,0.43090487238979114
bert_qkv_proj_seq2048,8,256,split_m,5.791051823869673,0.7238814779837092,0.7238814779837092,0.27611852201629083
bert_qkv_proj_seq2048,8,512,split_m,6.702554993851619,0.8378193742314524,0.8378193742314524,0.16218062576854764
bert_qkv_proj_seq2048,8,1024,split_m,7.27510010381136,0.90938751297642,0.90938751297642,0.09061248702358005
bert_qkv_proj_seq2048,8,2048,split_m,7.599690162664601,0.9499612703330751,0.9499612703330751,0.05003872966692491
